Name
Beverly Aadland
Mariann Aalda
Caroline Aaron
Diahnne Abbott
Rose Abdoo
Paula Abdul
Donzaleigh Abernathy
Whitney Able
Candice Accola
Amy Acker
Jean Acker
Bettye Ackerman
Amy Adams
Brooke Adams
Edie Adams
Jane Adams
Joey Lauren Adams
Julie Adams
Lillian Adams
Mary Kay Adams
Nancy Addison
Shohreh Aghdashloo
Dianna Agron
Christina Aguilera
Lexi Ainsworth
Malin Åkerman
Jessica Alba
Lola Albright
Denise Alexander
Erika Alexander
Jaimie Alexander
Jane Alexander
Khandi Alexander
Sasha Alexander
Kristian Alfonso
Tatyana Ali
Mary Alice
Ana Alicia
Christa B. Allen
Debbie Allen
Elizabeth Allen
Joan Allen
Jonelle Allen
Karen Allen
Krista Allen
Laura Allen
Nancy Allen
Rosalind Allen
Kirstie Alley
Jamie Anne Allman
June Allyson
Daniella Alonso
María Conchita Alonso
Trini Alvarado
Lauren Ambrose
Mädchen Amick
Suzy Amis
Eva Amurri
Kristina Anapau
Andrea Anders
Gillian Anderson
Loni Anderson
Mary Anderson
Melody Anderson
Nicole Gale Anderson
Jennifer Aniston
Odette Annable
Susan Anton
Shiri Appleby
Christina Applegate
Anne Archer
Beverly Archer
Leila Arcieri
Eve Arden
Ashley Argota
Jillian Armenante
Bess Armstrong
Samaire Armstrong
Alexis Arquette
Patricia Arquette
Rosanna Arquette
Bea Arthur
Jean Arthur
Katie Aselton
Ashanti
Elizabeth Ashley
Mary Astor
Margaret Avery
Awkwafina
Nicki Aycox
Rochelle Aytes
Candice Azzara

Lauren Bacall
Barbara Bach
Catherine Bach
Mary Badham
Jane Badler
Erykah Badu
Katherine Bailess
Laura Bailey
Pearl Bailey
Barbara Bain
Fay Bainter
Diora Baird
Blanche Baker
Carroll Baker
Diane Baker
Kathy Baker
Leigh-Allyn Baker
Brenda Bakke
Fairuza Balk
Lucille Ball
Kaye Ballard
Talia Balsam
Anne Bancroft
Lisa Banes
Tallulah Bankhead
Elizabeth Banks
Tyra Banks
Theda Bara
Christine Baranski
Adrienne Barbeau
Ellen Barkin
Joanna Barnes
Priscilla Barnes
Majel Barrett
Barbara Barrie
Dana Barron
Drew Barrymore
Ethel Barrymore
Roseanne Barr
Bonnie Bartlett
Mischa Barton
Ella Jay Basco
Kim Basinger
Angela Bassett
Justine Bateman
Florence Bates
Kathy Bates
Cyia Batten
Frances Bavier
Barbara Baxley
Anne Baxter
Meredith Baxter
Jennifer Beals
Amanda Bearse
Madisen Beaty
Louise Beavers
Kimberly Beck
Bonnie Bedelia
Nicole Beharie
Beth Behrs
Doris Belack
Ashley Bell
Catherine Bell
Jillian Bell
Kristen Bell
Lake Bell
Camilla Belle
Kathleen Beller
Troian Bellisario
Maria Bello
Bea Benaderet
Andrea Bendewald
Annette Bening
Constance Bennett
Haley Bennett
Joan Bennett
Melissa Benoist
Amber Benson
Ashley Benson
Jodi Benson
Julie Benz
Candice Bergen
Polly Bergen
Elizabeth Berkley
Jeannie Berlin
Crystal Bernard
Sandra Bernhard
Halle Berry
Valerie Bertinelli
Angela Bettis
Troy Beyer
Mayim Bialik
Leslie Bibb
Jessica Biel
Barbara Billingsley
Rachel Bilson
Traci Bingham
Thora Birch
Kerry Bishé
Summer Bishil
Julie Bishop
Danielle Bisutti
Karen Black
 Sofia Black-DElia
Joan Blackman
Betsy Blair
Linda Blair
Patricia Blair
Selma Blair
Amanda Blake
Susan Blakely
Ronee Blakley
Jolene Blalock
Rowan Blanchard
Tammy Blanchard
Sally Blane
Alexis Bledel
Yasmine Bleeth
Mary J. Blige
Joan Blondell
Nikki Blonsky
Moon Bloodgood
Lindsay Bloom
Verna Bloom
Emily Blunt
Ann Blyth
Eleanor Boardman
Mary Boland
Melissa Bolona
Beulah Bondi
Lisa Bonet
Shirley Booth
Olive Borden
Alex Borstein
Michelle Borth
Samantha Boscarino
Rachel Boston
Kate Bosworth
Barbara Bouchet
Julie Bovasso
Clara Bow
Katrina Bowden
Lilan Bowden
Andrea Bowen
Julie Bowen
Jessica Bowman
Jenna Boyd
Anise Boyer
Lara Flynn Boyle
Lucy Boynton
Lorraine Bracco
Alice Brady
Alexandra Breckenridge
Tracey E. Bregman
Lucille Bremer
Eileen Brennan
Amy Brenneman
Abigail Breslin
Jordana Brewster
Paget Brewster
Chloe Bridges
Alison Brie
Connie Britton
Pamela Britton
Beth Broderick
Jayne Brook
Geraldine Brooks
Louise Brooks
Blair Brown
Chelsea Brown
Kimberlin Brown
Kimberly J. Brown
Olivia Brown
Pat Crawford Brown
Vanessa Brown
Yvette Nicole Brown
Leslie Browne
Logan Browning
Sabrina Bryan
Joy Bryant
Nana Bryant
Tara Buck
Kira Buckland
Betty Buckley
Sandra Bullock
Cara Buono
Candace Cameron Bure
Billie Burke
Delta Burke
Marylouise Burke
Carol Burnett
Brooke Burns
Catherine Burns
Heather Burns
Ellen Burstyn
Hilarie Burton
Kate Burton
Sophia Bush
Brett Butler
Yancy Butler
Ruth Buzzi
Spring Byington
Amanda Bynes
Marion Byron

Jeanne Cagney
Erin Cahill
L. Scott Caldwell
Alice Calhoun
Monica Calhoun
